                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6226,                 6.0867,                 1.2452,                      0,                      0,                      0,                      0,                 1.6707,                 6.2731,                 1.3964,                      0,                      0,                      0
                      2,                 1.2221,                 5.8498,                 1.1815,                      0,                      0,                      0,                      0,                 1.6509,                 6.2693,                 1.3772,             5.3465e-07,             5.3465e-07,             5.3465e-07
                      3,                 1.5152,                 5.9056,                 1.2064,                      0,                      0,                      0,                      0,                 1.6261,                 6.2511,                 1.3595,             1.0586e-06,             1.0586e-06,             1.0586e-06
                      4,                 1.1959,                 5.8583,                 1.1662,                      0,                      0,                      0,                      0,                 1.6119,                 6.2421,                 1.3538,             1.5719e-06,             1.5719e-06,             1.5719e-06
                      5,                 1.4864,                 5.6899,                  1.234,                      0,                      0,                      0,                      0,                 1.6047,                 6.2476,                 1.3534,             2.0745e-06,             2.0745e-06,             2.0745e-06
                      6,                 1.5419,                 5.8101,                 1.1931,                      0,                      0,                      0,                      0,                 1.6056,                 6.2573,                 1.3554,             2.5663e-06,             2.5663e-06,             2.5663e-06
                      7,                 1.4627,                 5.8839,                 1.2037,                      0,                      0,                      0,                      0,                 1.5934,                 6.2714,                 1.3451,             3.0475e-06,             3.0475e-06,             3.0475e-06
                      8,                 1.2608,                 5.8747,                 1.1001,                      0,                      0,                      0,                      0,                 1.5746,                 6.2782,                 1.3385,              3.518e-06,              3.518e-06,              3.518e-06
                      9,                 1.4425,                 5.6251,                 1.1936,                      0,                      0,                      0,                      0,                 1.5759,                 6.2721,                 1.3386,             3.9779e-06,             3.9779e-06,             3.9779e-06
                     10,                  1.238,                 5.5232,                 1.1422,                      0,                      0,                      0,                      0,                 1.5793,                 6.2717,                 1.3401,              4.427e-06,              4.427e-06,              4.427e-06
